Company,Skills
torcai digital media private limited,"('testing', 'system testing', 'software engineer')"
DBXento Systems Pvt. Ltd.,"('sql', 'database', 'software engineer', 'php')"
e zest solutions ltd  ( onsite ),"('python', 'sql', 'apache', 'iam', 'software engineer')"
Mindteck  ( India )  Ltd,"('qa', 'manual testing', 'perl', 'software engineer')"
YsecIT softwares India Private Limited.,"('c#', 'javascript', 'jquery', 'system analysis', 'asp.net', 'software engineer', 'rfid', 'mvc')"
immidart technologies llp,"('.net', 'debugging', 'software engineer', 'web api', 'problem solving', 'mvc', 'jquery')"
parthenon technologies pvt ltd,"('c#', 'rest api', 'asp.net', 'software engineer', 'mvc', 'object oriented programming')"
ixia solutions llp,"('c#', 'ajax', 'jquery', 'visual studio', 'asp.net', 'software engineer', 'technical skills')"
hashroot limited,"('html5', 'oops', 'software engineer', 'angularjs', 'mongodb', 'javascript')"
Finoux Solutions Private Limited,"('c#', 'rdbms', 'oracle', 'asp.net', 'software engineer', 'mysql', 'mvc', 'javascript', 'jquery')"
SEVEN CONSULTANCY,"('python', 'problem solving', 'javascript', 'consultant', 'linux', 'project delivery', 'software engineer', 'html', 'software engineering', 'cloud computing')"
Aticara Technology,"('c', 'storage', 'security', 'linux', 'debugging', 'software engineer', 'c', 'software testing', 'infrastructure')"
graviton research capital llp,"('algorithms', 'c', 'c', 'problem solving', 'infrastructure', 'linux', 'software engineer', 'data structures')"
Flytxt Mobile Solutions Pvt Ltd,"('rest', 'hibernate', 'jquery', 'spring', 'java', 'struts', 'j2ee', 'software engineer', 'software engineering', 'mysql', 'html', 'unix')"
INDIAPROPERTY.com,"('information technology', 'javascript', 'sql', 'apache', 'xml', 'linux', 'php', 'software engineer', 'mysql', 'html', 'object oriented programming')"
scientech technologies ltd,"('c#', 'c', 'python', 'c', 'it skills', 'vb.net', 'java', 'linux', 'php', 'software engineer', 'html', 'mysql')"
ZEUS SYSTEMS PVT. LTD,"('html5', 'problem solving', 'javascript', 'jquery', 'software engineer', 'object oriented programming')"
Sardonyx Technologies,"('c#', 'css', 'oracle', 'web based applications', 'ajax', 'javascript', 'jquery', 'xml', '.net', 'software engineer', 'mysql', 'html', 'mvc')"
greenhandle products pvt ltd,"('algorithms', 'hosting', 'sql', 'codeigniter', 'debugging', 'software engineer', 'data structures', 'mvc', 'api', 'laravel', 'github', 'php')"
gs tecknoserve pvt ltd,"('css', 'html5', 'javascript', 'jquery', 'web programming', 'security', 'php', 'software engineer', 'html', 'api')"
e-business international,"('c#', 'vb', 'javascript', 'visual studio', 'database', 'asp.net', 'ssrs', 'software engineer', 'html')"
SolutionInn,"('security compliance', 'css', 'storage', 'database', 'git', 'software engineer', 'html', 'mysql', 'software engineering', 'python', 'mobile', 'javascript', 'php')"
InsuringIndia,"('t-sql', 'jquery', 'sql', 'database', 'asp.net', 'software engineer', 'mvc', 'c#', 'entity framework', 'visual studio', 'linq')"
Toogit Freelance,"('algorithms', 'python', 'system programming', 'java', 'debugging', 'software engineer', 'software developer', 'mongodb')"
Sagitec Solutions Pvt Ltd,"('c#', 'information technology', 'hosting', 'javascript', 'jquery', 'software implementation', 'it projects', 'asp.net', 'oops', 'software support', '.net', 'software engineer')"
